id,semantic,layer,normalized_mask,atlas_slot,atlas_x,atlas_y_bottom,variant,width_profile,asset
G001,Blob,Ground,0,0,0,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G001.asset
G002,Blob,Ground,1,1,64,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G002.asset
G003,Blob,Ground,4,2,128,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G003.asset
G004,Blob,Ground,5,3,192,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G004.asset
G005,Blob,Ground,7,4,256,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G005.asset
G006,Blob,Ground,16,5,320,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G006.asset
G007,Blob,Ground,17,6,384,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G007.asset
G008,Blob,Ground,20,7,448,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G008.asset
G009,Blob,Ground,21,8,512,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G009.asset
G010,Blob,Ground,23,9,576,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G010.asset
G011,Blob,Ground,28,10,640,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G011.asset
G012,Blob,Ground,29,11,704,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G012.asset
G013,Blob,Ground,31,12,768,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G013.asset
G014,Blob,Ground,64,13,832,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G014.asset
G015,Blob,Ground,65,14,896,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G015.asset
G016,Blob,Ground,68,15,960,960,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G016.asset
G017,Blob,Ground,69,16,0,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G017.asset
G018,Blob,Ground,71,17,64,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G018.asset
G019,Blob,Ground,80,18,128,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G019.asset
G020,Blob,Ground,81,19,192,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G020.asset
G021,Blob,Ground,84,20,256,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G021.asset
G022,Blob,Ground,85,21,320,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G022.asset
G023,Blob,Ground,87,22,384,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G023.asset
G024,Blob,Ground,92,23,448,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G024.asset
G025,Blob,Ground,93,24,512,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G025.asset
G026,Blob,Ground,95,25,576,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G026.asset
G027,Blob,Ground,112,26,640,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G027.asset
G028,Blob,Ground,113,27,704,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G028.asset
G029,Blob,Ground,116,28,768,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G029.asset
G030,Blob,Ground,117,29,832,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G030.asset
G031,Blob,Ground,119,30,896,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G031.asset
G032,Blob,Ground,124,31,960,896,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G032.asset
G033,Blob,Ground,125,32,0,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G033.asset
G034,Blob,Ground,127,33,64,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G034.asset
G035,Blob,Ground,193,34,128,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G035.asset
G036,Blob,Ground,197,35,192,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G036.asset
G037,Blob,Ground,199,36,256,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G037.asset
G038,Blob,Ground,209,37,320,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G038.asset
G039,Blob,Ground,213,38,384,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G039.asset
G040,Blob,Ground,215,39,448,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G040.asset
G041,Blob,Ground,221,40,512,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G041.asset
G042,Blob,Ground,223,41,576,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G042.asset
G043,Blob,Ground,241,42,640,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G043.asset
G044,Blob,Ground,245,43,704,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G044.asset
G045,Blob,Ground,247,44,768,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G045.asset
G046,Blob,Ground,253,45,832,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G046.asset
G047,Blob,Ground,255,46,896,832,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/G047.asset
