id,semantic,layer,mask,atlas_slot,atlas_x,atlas_y_bottom,variant,asset
ET001,BlobMask0,ElevatedTop,0,0,0,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET001.asset
ET002,BlobMask1,ElevatedTop,1,1,64,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET002.asset
ET003,BlobMask4,ElevatedTop,4,2,128,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET003.asset
ET004,BlobMask5,ElevatedTop,5,3,192,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET004.asset
ET005,BlobMask7,ElevatedTop,7,4,256,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET005.asset
ET006,BlobMask16,ElevatedTop,16,5,320,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET006.asset
ET007,BlobMask17,ElevatedTop,17,6,384,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET007.asset
ET008,BlobMask20,ElevatedTop,20,7,448,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET008.asset
ET009,BlobMask21,ElevatedTop,21,8,512,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET009.asset
ET010,BlobMask23,ElevatedTop,23,9,576,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET010.asset
ET011,BlobMask28,ElevatedTop,28,10,640,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET011.asset
ET012,BlobMask29,ElevatedTop,29,11,704,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET012.asset
ET013,BlobMask31,ElevatedTop,31,12,768,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET013.asset
ET014,BlobMask64,ElevatedTop,64,13,832,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET014.asset
ET015,BlobMask65,ElevatedTop,65,14,896,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET015.asset
ET016,BlobMask68,ElevatedTop,68,15,960,960,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET016.asset
ET017,BlobMask69,ElevatedTop,69,16,0,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET017.asset
ET018,BlobMask71,ElevatedTop,71,17,64,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET018.asset
ET019,BlobMask80,ElevatedTop,80,18,128,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET019.asset
ET020,BlobMask81,ElevatedTop,81,19,192,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET020.asset
ET021,BlobMask84,ElevatedTop,84,20,256,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET021.asset
ET022,BlobMask85,ElevatedTop,85,21,320,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET022.asset
ET023,BlobMask87,ElevatedTop,87,22,384,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET023.asset
ET024,BlobMask92,ElevatedTop,92,23,448,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET024.asset
ET025,BlobMask93,ElevatedTop,93,24,512,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET025.asset
ET026,BlobMask95,ElevatedTop,95,25,576,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET026.asset
ET027,BlobMask112,ElevatedTop,112,26,640,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET027.asset
ET028,BlobMask113,ElevatedTop,113,27,704,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET028.asset
ET029,BlobMask116,ElevatedTop,116,28,768,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET029.asset
ET030,BlobMask117,ElevatedTop,117,29,832,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET030.asset
ET031,BlobMask119,ElevatedTop,119,30,896,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET031.asset
ET032,BlobMask124,ElevatedTop,124,31,960,896,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET032.asset
ET033,BlobMask125,ElevatedTop,125,32,0,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET033.asset
ET034,BlobMask127,ElevatedTop,127,33,64,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET034.asset
ET035,BlobMask193,ElevatedTop,193,34,128,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET035.asset
ET036,BlobMask197,ElevatedTop,197,35,192,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET036.asset
ET037,BlobMask199,ElevatedTop,199,36,256,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET037.asset
ET038,BlobMask209,ElevatedTop,209,37,320,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET038.asset
ET039,BlobMask213,ElevatedTop,213,38,384,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET039.asset
ET040,BlobMask215,ElevatedTop,215,39,448,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET040.asset
ET041,BlobMask221,ElevatedTop,221,40,512,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET041.asset
ET042,BlobMask223,ElevatedTop,223,41,576,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET042.asset
ET043,BlobMask241,ElevatedTop,241,42,640,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET043.asset
ET044,BlobMask245,ElevatedTop,245,43,704,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET044.asset
ET045,BlobMask247,ElevatedTop,247,44,768,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET045.asset
ET046,BlobMask253,ElevatedTop,253,45,832,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET046.asset
