id,semantic,layer,normalized_mask,atlas_slot,atlas_x,atlas_y_bottom,variant,frame,frame_seconds,asset
W001,SeamlessVariant,Water,255,0,0,960,1,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W001.asset
W002,SeamlessVariant,Water,255,1,64,960,2,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W002.asset
W003,SeamlessVariant,Water,255,2,128,960,3,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W003.asset
W004,SeamlessVariant,Water,255,3,192,960,4,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W004.asset
W005,SeamlessVariant,Water,255,4,256,960,5,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W005.asset
W006,SeamlessVariant,Water,255,5,320,960,6,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W006.asset
W007,SeamlessVariant,Water,255,6,384,960,7,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W007.asset
W008,SeamlessVariant,Water,255,7,448,960,8,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W008.asset
W009,SeamlessVariant,Water,255,8,512,960,9,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W009.asset
W010,SeamlessVariant,Water,255,9,576,960,10,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W010.asset
W011,SeamlessVariant,Water,255,10,640,960,11,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W011.asset
W012,SeamlessVariant,Water,255,11,704,960,12,-1,0.0,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/W012.asset
F001,BlobMask0,Foam,0,16,0,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F001.asset
F002,BlobMask1,Foam,1,17,64,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F002.asset
F003,BlobMask4,Foam,4,18,128,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F003.asset
F004,BlobMask5,Foam,5,19,192,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F004.asset
F005,BlobMask7,Foam,7,20,256,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F005.asset
F006,BlobMask16,Foam,16,21,320,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F006.asset
F007,BlobMask17,Foam,17,22,384,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F007.asset
F008,BlobMask20,Foam,20,23,448,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F008.asset
F009,BlobMask21,Foam,21,24,512,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F009.asset
F010,BlobMask23,Foam,23,25,576,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F010.asset
F011,BlobMask28,Foam,28,26,640,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F011.asset
F012,BlobMask29,Foam,29,27,704,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F012.asset
F013,BlobMask31,Foam,31,28,768,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F013.asset
F014,BlobMask64,Foam,64,29,832,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F014.asset
F015,BlobMask65,Foam,65,30,896,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F015.asset
F016,BlobMask68,Foam,68,31,960,896,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F016.asset
F017,BlobMask69,Foam,69,32,0,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F017.asset
F018,BlobMask71,Foam,71,33,64,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F018.asset
F019,BlobMask80,Foam,80,34,128,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F019.asset
