id,semantic,layer,category,atlas_slot,atlas_x,atlas_y_bottom,width_px,height_px,footprint_w,footprint_h,pivot_x,pivot_y,asset
D001,RockRound,DecorationSmall,Rock,0,0,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D001.asset
D002,RockFlat,DecorationSmall,Rock,1,64,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D002.asset
D003,RockPointed,DecorationSmall,Rock,2,128,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D003.asset
D004,PebblePair,DecorationSmall,Rock,3,192,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D004.asset
D005,RockMossy,DecorationSmall,Rock,4,256,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D005.asset
D006,StoneCluster,DecorationSmall,Rock,5,320,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D006.asset
D007,GrassTuft,DecorationSmall,Nature,6,384,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D007.asset
D008,GrassWide,DecorationSmall,Nature,7,448,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D008.asset
D009,FlowerRed,DecorationSmall,Nature,8,512,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D009.asset
D010,FlowerBlue,DecorationSmall,Nature,9,576,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D010.asset
D011,FlowerGold,DecorationSmall,Nature,10,640,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D011.asset
D012,BushSmall,DecorationSmall,Nature,11,704,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D012.asset
D013,BushBerry,DecorationSmall,Nature,12,768,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D013.asset
D014,Fern,DecorationSmall,Nature,13,832,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D014.asset
D015,Reeds,DecorationSmall,Nature,14,896,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D015.asset
D016,Stump,DecorationSmall,Wood,15,960,960,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D016.asset
D017,ChoppedWood,DecorationSmall,Wood,16,0,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D017.asset
D018,LogHorizontal,DecorationSmall,Wood,17,64,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D018.asset
D019,LogVertical,DecorationSmall,Wood,18,128,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D019.asset
D020,TwigPile,DecorationSmall,Wood,19,192,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D020.asset
D021,Signpost,DecorationSmall,Built,20,256,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D021.asset
D022,FenceStraight,DecorationSmall,Built,21,320,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D022.asset
D023,FenceEnd,DecorationSmall,Built,22,384,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D023.asset
D024,Crate,DecorationSmall,Built,23,448,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D024.asset
D025,Barrel,DecorationSmall,Built,24,512,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D025.asset
D026,FenceCorner,DecorationSmall,Built,25,576,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D026.asset
D027,MushroomPair,DecorationSmall,Ambient,26,640,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D027.asset
D028,Fireflies,DecorationSmall,Ambient,27,704,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D028.asset
D029,GroundLeaves,DecorationSmall,Ambient,28,768,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D029.asset
D030,Bones,DecorationSmall,Ambient,29,832,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D030.asset
D031,Lantern,DecorationSmall,Ambient,30,896,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D031.asset
D032,PuddleReeds,DecorationSmall,Ambient,31,960,896,64,64,1,1,0.5,0.12,Assets/Sapphire/Art/World/Modular64/Tiles/DecorationsSmall/D032.asset
